num_neighbors,target_recall,maxlines,recall,windowsize,qps,mean_latency,latency_9,latency_99,latency_999,latency_9999,max_latency,data_allocator,graph_allocator,prefetching,threading,num_threads
1,0.95,1000000,0.9517,10,123585.04332478845,139189.71952,165728,222357,307882,382202,404192,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
1,0.95,1000000,0.9517,10,9824.998164321905,101610.14142,116641,130633,142740,157205,176028,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
1,0.95,1000000,0.9517,10,7174.1049202169515,139210.09784,163568,187344,204670,219788,234864,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
1,0.95,10000000,0.9526,14,89801.79397043816,191949.27214,225094,280363,347837,523930,566759,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
1,0.95,10000000,0.9526,14,6833.096580840756,146162.44548,168044,186624,208262,227085,282523,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
1,0.95,10000000,0.9526,14,6040.870728511649,165315.64286,192146,217477,242064,261940,275298,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
1,0.95,100000000,0.952,19,65476.68458351894,263118.6006,303894,347279,393982,433776,451256,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.MultiThread,18
1,0.95,100000000,0.952,19,4655.760737714377,214593.93332,243444,267771,287263,325017,397442,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.SingleThread,18
1,0.95,100000000,0.952,19,4379.010669584999,228163.06378,260405,288548,309989,335556,343865,DRAM,PM - /mnt/public,Regression.WithPrefetching,Regression.SingleThread,18
1,0.98,1000000,0.9816,16,103534.41092251922,165124.27944,190104,241331,281701,305300,323558,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
1,0.98,1000000,0.9816,16,7964.051430136006,125391.07862,141425,155448,167979,182788,195198,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
1,0.98,1000000,0.9816,16,7569.986695039833,131916.5718,150301,168043,183768,193813,206654,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
1,0.98,10000000,0.9811,23,67307.27161135733,257464.1498,294844,396781,500326,616644,707535,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
1,0.98,10000000,0.9811,23,5210.034801534069,191721.50842,217131,236254,253769,267501,285910,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
1,0.98,10000000,0.9811,23,5145.644286142166,194134.283,221623,244610,265672,304569,375348,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
1,0.98,100000000,0.9801,34,46208.95072569442,372711.10844,426732,514404,627771,867500,931951,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.MultiThread,18
1,0.98,100000000,0.9801,34,3224.6100151971937,309867.66742,352684,379965,402734,441350,446814,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.SingleThread,18
1,0.98,100000000,0.9801,34,2902.971303369481,344205.57858,392151,425819,446865,473702,480514,DRAM,PM - /mnt/public,Regression.WithPrefetching,Regression.SingleThread,18
1,0.99,1000000,0.991,22,87029.5643659788,197523.9823,229199,262625,294904,317533,336092,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
1,0.99,1000000,0.991,22,6725.131378410622,148508.39674,166379,180737,195282,209816,230671,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
1,0.99,1000000,0.991,22,5215.736072091531,191533.84858,218392,242306,262592,285023,317932,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
1,0.99,10000000,0.9901,33,58322.80990573034,294795.4557,335960,457936,676666,802183,867583,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
1,0.99,10000000,0.9901,33,4274.560724245676,233702.86596,264167,285834,301517,320079,322986,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
1,0.99,10000000,0.9901,33,4146.592759901572,240933.42548,271130,292625,309498,328696,333197,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
1,0.99,100000000,0.9901,56,33169.049551751275,521540.51054,603036,779743,1090162,1319379,1446129,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.MultiThread,18
1,0.99,100000000,0.9901,56,2297.0442380549034,434988.7772,504044,541311,568420,612464,623482,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.SingleThread,18
1,0.99,100000000,0.9901,56,2300.1732332273355,434388.9342,503538,544179,575523,614270,672237,DRAM,PM - /mnt/public,Regression.WithPrefetching,Regression.SingleThread,18
5,0.95,1000000,0.95158,13,114032.95886399673,149382.38098,173387,222303,265043,333006,341006,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
5,0.95,1000000,0.95158,13,8563.063282123965,116611.0672,133762,150200,164012,175769,182163,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
5,0.95,1000000,0.95158,13,7332.967256355324,136188.65338,156802,178734,199363,230317,1592022,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
5,0.95,10000000,0.9518,18,80340.65956487159,214341.43452,248025,291177,344388,376392,394925,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
5,0.95,10000000,0.9518,18,5990.26871382814,166758.18188,190048,208325,228143,235841,251660,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
5,0.95,10000000,0.9518,18,5392.141967904467,185270.25382,212959,238003,263210,282730,290386,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
5,0.95,100000000,0.9525199999999999,27,53047.507422022645,326399.95196,373318,431912,523823,572778,605380,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.MultiThread,18
5,0.95,100000000,0.9525199999999999,27,3755.7400358018426,266046.87786,301699,327265,350325,390413,441583,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.SingleThread,18
5,0.95,100000000,0.9525199999999999,27,3180.948186907944,314151.9727,358323,393959,423192,449970,1720652,DRAM,PM - /mnt/public,Regression.WithPrefetching,Regression.SingleThread,18
5,0.98,1000000,0.9806399999999997,21,89720.07367518169,190627.51014,219904,248596,277566,304351,325260,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
5,0.98,1000000,0.9806399999999997,21,6894.352785056788,144870.72742,163066,179047,193644,204503,220857,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
5,0.98,1000000,0.9806399999999997,21,6541.287656255998,152672.81882,172547,190780,205946,221622,234913,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
5,0.98,10000000,0.98024,31,57103.45595403214,300757.65072,345389,448667,528183,752002,831234,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
5,0.98,10000000,0.98024,31,4463.473439035022,223824.22024,252794,273322,289192,309373,312165,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
5,0.98,10000000,0.98024,31,3878.129198296153,257635.37062,291851,319384,338698,354370,372256,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
5,0.98,100000000,0.9803200000000001,47,37069.39331785322,467548.60646,540044,629208,803602,1039057,1156414,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.MultiThread,18
5,0.98,100000000,0.9803200000000001,47,2594.885362333441,385066.95164,442946,477108,502641,535274,555105,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.SingleThread,18
5,0.98,100000000,0.9803200000000001,47,2650.6226639724505,376945.08442,433955,470834,497673,535579,565241,DRAM,PM - /mnt/public,Regression.WithPrefetching,Regression.SingleThread,18
5,0.99,1000000,0.99098,29,75560.3973516377,227554.01398,262317,304645,373713,646241,689605,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
5,0.99,1000000,0.99098,29,5789.750292273254,172529.59954,193070,208319,222252,233215,244687,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
5,0.99,1000000,0.99098,29,5472.69125514909,182510.67416,205181,224602,240471,253354,285042,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
5,0.99,10000000,0.9901200000000001,45,48796.34804617885,351365.16518,401553,515671,643854,765104,859577,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
5,0.99,10000000,0.9901200000000001,45,3542.460541889672,282033.8236,320855,346630,364218,411702,432747,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
5,0.99,10000000,0.9901200000000001,45,3317.2450517678267,301203.78502,340612,369966,391077,422945,448953,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
5,0.99,100000000,0.9902200000000001,68,28879.660728307223,592812.19244,689969,894265,1277542,2068185,2434869,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.MultiThread,18
5,0.99,100000000,0.9902200000000001,68,1966.3077631449821,503574.93228,589300,635058,670685,718134,748521,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.SingleThread,18
10,0.95,1000000,0.9529599999999998,16,104175.16649212604,163072.26984,187431,240707,299193,447046,505397,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
10,0.95,1000000,0.9529599999999998,16,7962.102918870066,125422.64872,141553,155412,168455,182730,207956,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
10,0.95,1000000,0.9529599999999998,16,6916.865465622746,144391.39948,165076,184723,202028,220402,262124,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
10,0.95,10000000,0.9510499999999996,22,73083.96884375448,233958.09618,268880,315829,361574,413127,433333,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
10,0.95,10000000,0.9510499999999996,22,5357.431915851182,186471.6605,211533,230748,248904,262742,269851,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
10,0.95,10000000,0.9510499999999996,22,4274.485342419846,233718.0173,269906,299947,334208,356857,371501,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
10,0.95,100000000,0.9515399999999998,32,46734.52743129168,366336.14624,422152,483236,578248,648288,697822,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.MultiThread,18
10,0.95,100000000,0.9515399999999998,32,3373.7478048844014,296169.501,336576,364057,385423,422854,430142,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.SingleThread,18
10,0.98,1000000,0.98005,25,82798.15421585448,204285.42686,233613,285252,313675,337516,342608,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
10,0.98,1000000,0.98005,25,6289.285358256907,158807.07848,177758,192404,206409,221533,239936,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
10,0.98,1000000,0.98005,25,4467.04220318564,223655.62746,254941,281443,304661,324267,330979,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
10,0.98,10000000,0.9802199999999998,38,51543.330238173534,333876.37948,385174,494443,586379,863588,924548,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
10,0.98,10000000,0.9802199999999998,38,3949.201676013452,252986.897,286390,309632,326381,349810,396029,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
10,0.98,10000000,0.9802199999999998,38,3890.8237365222344,256777.23376,290895,316857,336272,354459,379552,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
10,0.98,100000000,0.9805599999999999,57,31965.42509149595,539359.2296,626279,715770,1089611,1361962,1415332,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.MultiThread,18
10,0.98,100000000,0.9805599999999999,57,2266.2913482293875,440893.5972,511321,548271,571163,606043,621301,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.SingleThread,18
10,0.99,1000000,0.9900099999999998,34,68938.38851164478,250283.52918,285713,325230,378585,418413,452201,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
10,0.99,1000000,0.9900099999999998,34,5288.29168107519,188892.45462,211685,228024,240938,251963,261791,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
10,0.99,1000000,0.9900099999999998,34,4526.642932626762,220695.8619,248049,269972,288384,307770,319919,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
10,0.99,10000000,0.9902899999999998,54,41420.935860118225,420409.06744,481051,551884,696846,743416,789280,DRAM,DRAM,Regression.NoPrefetching,Regression.MultiThread,18
10,0.99,10000000,0.9902899999999998,54,3125.420480397718,319672.81806,365766,393985,418672,442913,492851,DRAM,DRAM,Regression.NoPrefetching,Regression.SingleThread,18
10,0.99,10000000,0.9902899999999998,54,2490.4281107824518,401240.01086,455430,494940,526035,559688,569917,DRAM,DRAM,Regression.WithPrefetching,Regression.SingleThread,18
10,0.99,100000000,0.9901699999999999,81,25416.994490401823,678506.50178,797542,967994,1358477,1709106,1832407,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.MultiThread,18
10,0.99,100000000,0.9901699999999999,81,1763.7384919382316,566553.41228,668480,715056,748427,823714,891040,DRAM,PM - /mnt/public,Regression.NoPrefetching,Regression.SingleThread,18
